cve_municipio,desc_municipio,nacimientos,muertes,poblacion_total,tasa_crecimiento_natural,tasa_de_mortalidad,tasa_de_natalidad,cluster_label
113,San Gabriel,277,154,16548,7.432922407541697,9.306260575296108,16.739182982837807,Cluster 0
89,Techaluta de Montenegro,63,33,4072,7.367387033398821,8.104125736738704,15.471512770137524,Cluster 2
84,Talpa de Allende,227,117,14997,7.334800293392012,7.801560312062413,15.136360605454424,Cluster 2
82,Sayula,588,317,37186,7.287688915183134,8.524713601893186,15.812402517076318,Cluster 2
27,Cuautitlán de García Barragán,288,155,18370,7.240065323897659,8.437670114316822,15.67773543821448,Cluster 2
35,Encarnación de Díaz,870,486,53039,7.239955504440129,9.163068685307039,16.403024189747168,Cluster 0
122,Zapotitlán de Vadillo,111,57,7466,7.232788641843022,7.634610233056523,14.867398874899544,Cluster 2
97,Tlajomulco de Zúñiga,8487,3240,727750,7.209893507385778,4.452078323600137,11.661971830985916,Cluster 3
2,Acatlán de Juárez,395,213,25250,7.207920792079208,8.435643564356436,15.643564356435643,Cluster 2
101,Tonalá,7497,3448,569913,7.104593157201188,6.050046235127116,13.154639392328303,Cluster 3
80,San Sebastián del Oeste,91,55,5086,7.078254030672434,10.81399921352733,17.892253244199765,Cluster 0
17,Ayutla,215,124,12880,7.065217391304348,9.627329192546583,16.69254658385093,Cluster 0
65,Pihuamo,198,118,11386,7.026172492534692,10.36360442648867,17.38977691902336,Cluster 0
5,Amatitán,236,121,16490,6.973923590054579,7.3377804730139475,14.311704063068525,Cluster 2
12,Atenguillo,67,39,4176,6.704980842911878,9.339080459770116,16.044061302681992,Cluster 0
38,Guachinango,67,39,4199,6.668254346272922,9.287925696594426,15.956180042867349,Cluster 0
3,Ahualulco de Mercado,368,212,23630,6.601777401608125,8.97164621244181,15.573423614049936,Cluster 2
75,San Marcos,63,38,3791,6.594566077552098,10.023740437879187,16.618306515431282,Cluster 0
26,Concepción de Buenos Aires,99,58,6334,6.473002841806126,9.156930849384276,15.629933691190402,Cluster 0
21,Casimiro Castillo,341,208,20548,6.47264940626825,10.122639672960872,16.595289079229122,Cluster 0
14,Atoyac,141,85,8689,6.444930371734377,9.782483599953965,16.22741397168834,Cluster 0
24,Cocula,492,305,29267,6.389448867324973,10.421293607134315,16.81074247445929,Cluster 0
115,Villa Guerrero,98,63,5525,6.334841628959276,11.402714932126697,17.737556561085974,Cluster 0
15,Autlán de Navarro,933,527,64931,6.252791424743189,8.116308080885863,14.369099505629052,Cluster 2
69,Quitupan,132,84,7734,6.2063615205585725,10.861132660977503,17.067494181536073,Cluster 0
51,Juanacatlán,351,160,30855,6.19024469291849,5.185545292497165,11.375789985415654,Cluster 2
57,La Manzanilla de la Paz,64,40,4099,5.855086606489388,9.758477677482313,15.6135642839717,Cluster 0
67,Puerto Vallarta,3845,2139,291839,5.845688890107217,7.329383667021886,13.175072557129102,Cluster 2
68,Villa Purificación,191,125,11303,5.839157745731222,11.059010882066707,16.89816862779793,Cluster 0
7,San Juanito de Escobedo,161,106,9433,5.830594720661508,11.237146188911268,17.067740909572777,Cluster 0
4,Amacueca,85,52,5743,5.746125718265715,9.054501131812643,14.800626850078356,Cluster 0
41,Huejúcar,107,73,5920,5.743243243243244,12.331081081081082,18.074324324324323,Cluster 0
120,Zapopan,17295,8980,1476491,5.631595451648537,6.081987631485732,11.713583083134267,Cluster 3
85,Tamazula de Gordiano,669,454,38955,5.519188807598511,11.654473109998717,17.173661917597226,Cluster 0
114,Villa Corona,310,205,19063,5.508052247809894,10.753816293343124,16.26186854115302,Cluster 0
37,El Grullo,387,254,25920,5.131172839506172,9.799382716049383,14.930555555555557,Cluster 0
22,Cihuatlán,543,340,40139,5.057425446573158,8.47056478736391,13.52799023393707,Cluster 2
30,Chapala,834,568,55196,4.819189796362055,10.290600768171606,15.109790564533663,Cluster 0
60,Mexticacán,92,67,5307,4.710759374411155,12.624835123421896,17.335594497833053,Cluster 0
20,Cabo Corrientes,158,107,10940,4.661791590493602,9.780621572212066,14.442413162705668,Cluster 0
103,Tonila,106,71,7565,4.626569729015202,9.385327164573694,14.011896893588897,Cluster 0
25,Colotlán,288,197,19689,4.621870079739956,10.005586875920566,14.627456955660522,Cluster 0
23,Zapotlán el Grande,1486,962,115141,4.550941888640884,8.35497346731399,12.905915355954871,Cluster 2
77,San Martín Hidalgo,420,296,28102,4.412497331150807,10.533058145327734,14.94555547647854,Cluster 0
121,Zapotiltic,476,329,33713,4.360335775516863,9.758846735680597,14.11918251119746,Cluster 0
49,Jilotlán de los Dolores,103,62,9425,4.350132625994695,6.5782493368700266,10.928381962864721,Cluster 2
28,Cuautla,36,27,2166,4.1551246537396125,12.465373961218837,16.62049861495845,Cluster 0
81,Santa María de los Ángeles,65,51,3515,3.982930298719772,14.509246088193455,18.49217638691323,Cluster 0
95,Teuchitlán,143,105,9647,3.9390484088317614,10.884212708614076,14.823261117445838,Cluster 0
90,Tenamaxtlán,122,94,7302,3.834565872363736,12.873185428649686,16.707751301013424,Cluster 0
11,Atengo,85,64,5599,3.7506697624575818,11.430612609394535,15.181282371852117,Cluster 0
87,Tecalitlán,241,187,16705,3.23256510026938,11.19425321759952,14.426818317868902,Cluster 0
108,Tuxpan,531,417,37518,3.0385415000799614,11.114664960818807,14.153206460898769,Cluster 0
6,Ameca,723,592,60386,2.169377007915742,9.803596860199383,11.972973868115126,Cluster 0
54,El Limón,82,72,5368,1.8628912071535022,13.412816691505217,15.275707898658718,Cluster 0
39,Guadalajara,16868,15398,1385629,1.0608900362218168,11.112642705947986,12.173532742169803,Cluster 3
56,Santa María del Oro,16,15,1815,0.5509641873278236,8.264462809917356,8.815426997245178,Cluster 2
102,Tonaya,40,46,5961,-1.0065425264217414,7.7168260359000165,6.710283509478276,Cluster 2
104,Totatiche,52,57,4180,-1.1961722488038278,13.636363636363635,12.440191387559809,Cluster 0
