cve_municipio,desc_municipio,nacimientos,muertes,poblacion_total,tasa_crecimiento_natural,tasa_de_mortalidad,tasa_de_natalidad
96,Tizapán el Alto,425,209,22758,9.491167940943845,9.183583794709552,18.674751735653395
58,Mascota,272,135,14451,9.480312781122414,9.3419140543907,18.822226835513113
116,Villa Hidalgo,375,187,20088,9.358821186778176,9.309040223018718,18.667861409796895
62,Mixtlán,67,33,3638,9.345794392523365,9.070918086860914,18.416712479384277
83,Tala,1421,608,87690,9.271296613068765,6.933515794275288,16.204812407344054
112,Valle de Juárez,102,45,6151,9.26678588847342,7.315883596163225,16.582669484636643
13,Atotonilco el Alto,1049,468,64009,9.076848568170101,7.311471824274712,16.388320392444815
53,Lagos de Moreno,3066,1512,172403,9.013764261642779,8.77014901132811,17.78391327297089
119,Zacoalco de Torres,549,282,30472,8.762142294565503,9.254397479653452,18.016539774218955
91,Teocaltiche,735,386,39839,8.760260046687918,9.688998217826752,18.449258264514672
98,San Pedro Tlaquepaque,10854,4837,687127,8.756750935416598,7.039455588268254,15.79620652368485
70,El Salto,3365,1347,232852,8.666449074948893,5.784790338927731,14.451239413876625
36,Etzatlán,341,168,20011,8.645245115186647,8.395382539603219,17.040627654789866
99,Tolimán,189,93,11219,8.5569123807826,8.289508868883145,16.846421249665745
47,Jamay,421,208,24894,8.556278621354544,8.355427010524625,16.911705631879165
63,Ocotlán,1715,813,106050,8.505421970768504,7.666195190947667,16.17161716171617
48,Jesús María,336,180,18982,8.218312085133284,9.482667790538404,17.70097987567169
18,La Barca,1204,646,67937,8.213491911624006,9.508809632453596,17.722301544077602
92,Teocuitatlán de Corona,192,102,11039,8.152912401485642,9.239967388350394,17.392879789836037
44,Ixtlahuacán de los Membrillos,900,346,67969,8.150774617840487,5.090555988759581,13.241330606600068
123,Zapotlán del Rey,321,164,19279,8.143575911613674,8.50666528346906,16.65024119508273
79,Gómez Farías,291,158,16431,8.094455602215325,9.615969813158054,17.71042541537338
76,San Martín de Bolaños,57,32,3095,8.077544426494345,10.339256865912763,18.416801292407108
88,Tecolotlán,278,144,16603,8.07083057278805,8.673131361802083,16.743961934590132
107,Tuxcueca,133,79,6702,8.057296329453894,11.787526111608475,19.84482244106237
33,Degollado,372,203,21226,7.961933477810233,9.563742579854894,17.525676057665127
16,Ayotlán,630,303,41552,7.869657296881017,7.292067770504428,15.161725067385445
43,La Huerta,344,162,23258,7.825264425144036,6.965345257545791,14.790609682689828
110,Unión de Tula,244,137,13799,7.754185085875789,9.928255670700775,17.68244075657656
105,Tototlán,373,197,23573,7.466168922071862,8.357018623000892,15.823187545072754
113,San Gabriel,277,154,16548,7.432922407541697,9.306260575296108,16.739182982837807
89,Techaluta de Montenegro,63,33,4072,7.367387033398821,8.104125736738704,15.471512770137524
84,Talpa de Allende,227,117,14997,7.334800293392012,7.801560312062413,15.136360605454424
82,Sayula,588,317,37186,7.287688915183134,8.524713601893186,15.812402517076318
27,Cuautitlán de García Barragán,288,155,18370,7.240065323897659,8.437670114316822,15.67773543821448
35,Encarnación de Díaz,870,486,53039,7.239955504440129,9.163068685307039,16.403024189747168
122,Zapotitlán de Vadillo,111,57,7466,7.232788641843022,7.634610233056523,14.867398874899544
97,Tlajomulco de Zúñiga,8487,3240,727750,7.209893507385778,4.452078323600137,11.661971830985916
2,Acatlán de Juárez,395,213,25250,7.207920792079208,8.435643564356436,15.643564356435643
101,Tonalá,7497,3448,569913,7.104593157201188,6.050046235127116,13.154639392328303
80,San Sebastián del Oeste,91,55,5086,7.078254030672434,10.81399921352733,17.892253244199765
17,Ayutla,215,124,12880,7.065217391304348,9.627329192546583,16.69254658385093
65,Pihuamo,198,118,11386,7.026172492534692,10.36360442648867,17.38977691902336
5,Amatitán,236,121,16490,6.973923590054579,7.3377804730139475,14.311704063068525
12,Atenguillo,67,39,4176,6.704980842911878,9.339080459770116,16.044061302681992
38,Guachinango,67,39,4199,6.668254346272922,9.287925696594426,15.956180042867349
3,Ahualulco de Mercado,368,212,23630,6.601777401608125,8.97164621244181,15.573423614049936
75,San Marcos,63,38,3791,6.594566077552098,10.023740437879187,16.618306515431282
26,Concepción de Buenos Aires,99,58,6334,6.473002841806126,9.156930849384276,15.629933691190402
21,Casimiro Castillo,341,208,20548,6.47264940626825,10.122639672960872,16.595289079229122
14,Atoyac,141,85,8689,6.444930371734377,9.782483599953965,16.22741397168834
24,Cocula,492,305,29267,6.389448867324973,10.421293607134315,16.81074247445929
115,Villa Guerrero,98,63,5525,6.334841628959276,11.402714932126697,17.737556561085974
15,Autlán de Navarro,933,527,64931,6.252791424743189,8.116308080885863,14.369099505629052
69,Quitupan,132,84,7734,6.2063615205585725,10.861132660977503,17.067494181536073
51,Juanacatlán,351,160,30855,6.19024469291849,5.185545292497165,11.375789985415654
57,La Manzanilla de la Paz,64,40,4099,5.855086606489388,9.758477677482313,15.6135642839717
67,Puerto Vallarta,3845,2139,291839,5.845688890107217,7.329383667021886,13.175072557129102
68,Villa Purificación,191,125,11303,5.839157745731222,11.059010882066707,16.89816862779793
7,San Juanito de Escobedo,161,106,9433,5.830594720661508,11.237146188911268,17.067740909572777
4,Amacueca,85,52,5743,5.746125718265715,9.054501131812643,14.800626850078356
41,Huejúcar,107,73,5920,5.743243243243244,12.331081081081082,18.074324324324323
120,Zapopan,17295,8980,1476491,5.631595451648537,6.081987631485732,11.713583083134267
85,Tamazula de Gordiano,669,454,38955,5.519188807598511,11.654473109998717,17.173661917597226
114,Villa Corona,310,205,19063,5.508052247809894,10.753816293343124,16.26186854115302
37,El Grullo,387,254,25920,5.131172839506172,9.799382716049383,14.930555555555557
22,Cihuatlán,543,340,40139,5.057425446573158,8.47056478736391,13.52799023393707
30,Chapala,834,568,55196,4.819189796362055,10.290600768171606,15.109790564533663
60,Mexticacán,92,67,5307,4.710759374411155,12.624835123421896,17.335594497833053
20,Cabo Corrientes,158,107,10940,4.661791590493602,9.780621572212066,14.442413162705668
103,Tonila,106,71,7565,4.626569729015202,9.385327164573694,14.011896893588897
25,Colotlán,288,197,19689,4.621870079739956,10.005586875920566,14.627456955660522
23,Zapotlán el Grande,1486,962,115141,4.550941888640884,8.35497346731399,12.905915355954871
77,San Martín Hidalgo,420,296,28102,4.412497331150807,10.533058145327734,14.94555547647854
121,Zapotiltic,476,329,33713,4.360335775516863,9.758846735680597,14.11918251119746
49,Jilotlán de los Dolores,103,62,9425,4.350132625994695,6.5782493368700266,10.928381962864721
28,Cuautla,36,27,2166,4.1551246537396125,12.465373961218837,16.62049861495845
81,Santa María de los Ángeles,65,51,3515,3.982930298719772,14.509246088193455,18.49217638691323
95,Teuchitlán,143,105,9647,3.9390484088317614,10.884212708614076,14.823261117445838
90,Tenamaxtlán,122,94,7302,3.834565872363736,12.873185428649686,16.707751301013424
11,Atengo,85,64,5599,3.7506697624575818,11.430612609394535,15.181282371852117
87,Tecalitlán,241,187,16705,3.23256510026938,11.19425321759952,14.426818317868902
108,Tuxpan,531,417,37518,3.0385415000799614,11.114664960818807,14.153206460898769
6,Ameca,723,592,60386,2.169377007915742,9.803596860199383,11.972973868115126
54,El Limón,82,72,5368,1.8628912071535022,13.412816691505217,15.275707898658718
39,Guadalajara,16868,15398,1385629,1.0608900362218168,11.112642705947986,12.173532742169803
56,Santa María del Oro,16,15,1815,0.5509641873278236,8.264462809917356,8.815426997245178
102,Tonaya,40,46,5961,-1.0065425264217414,7.7168260359000165,6.710283509478276
104,Totatiche,52,57,4180,-1.1961722488038278,13.636363636363635,12.440191387559809
